split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
train,windows_nonoverlap,AeCa,AeCa,954629,954627,1.861102304122284,1.8620047411187826,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,318210,,,,,,,,,,,,,,,,0.0,1.5327962230000005,1.5327962230000005,0.01152101600000001,0.030388961895368993,1.544317238999999,1.81673771705339,954629,238658,,,,0.9310023705593913,0.23275010501461824
train,windows_nonoverlap,HaHi,HaHi,2334003,2334003,1.7752442316075376,1.7761690966121295,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,778002,,,,,,,,,,,,,,,,0.0,3.746331406000004,3.746331406000004,0.027471211000000037,0.07590194937074557,3.7738026170000034,4.413163355976396,2334003,583501,,,,0.8880845483060648,0.2220211370765162
train,windows_nonoverlap,AnCa,AnCa,85313805,85313805,1.5620515850043033,1.5629762146935071,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,28437936,,,,,,,,,,,,,,,,0.0,138.06274437700097,138.06274437700097,0.9318617660000066,2.686779437412042,138.9946061429991,162.16758501595626,85313805,21328452,,,,0.7814881073467536,0.1953720268366884
train,windows_nonoverlap,WaMe,WaMe,5486659,5486658,1.9334745979688908,1.9343607711652522,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,1828887,,,,,,,,,,,,,,,,0.0,8.596363263,8.596363263,0.06636740800000002,0.17325609311228618,8.662730670999995,10.152946049231364,5486659,1371665,,,,0.9671803855826261,0.24179505232601478
val,windows_nonoverlap,OrSa,OrSa,8652504,8652504,1.8460292656440886,1.846808738834446,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,2884169,,,,,,,,,,,,,,,,0.0,14.018875053999995,14.018875053999995,0.10374545099999995,0.2747210658271797,14.122620504999992,16.48824465246731,8652504,2163126,,,,0.923404369417223,0.23085109235430576
val,windows_nonoverlap,HoSa,HoSa,37950533,37950531,1.5935467897725817,1.5943266775371339,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,12650178,,,,,,,,,,,,,,,,0.0,60.66581311900009,60.66581311900009,0.42243390399999897,1.18658226786647,61.08824702299986,71.4050530635877,37950533,9487634,,,,0.7971633387685669,0.19929082418947844
val,windows_nonoverlap,DaRe,DaRe,12513004,12513003,1.653666815388796,1.6541589576858569,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,4171002,,,,,,,,,,,,,,,,0.0,20.344253678999973,20.344253678999973,0.14309918100000035,0.3901965762488544,20.487352860000023,23.8985933231451,12513004,3128251,,,,0.8270794788429284,0.2067698531863332
val,windows_nonoverlap,ScPo,ScPo,2130431,2130429,1.9372426017706557,1.938099791168821,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,710144,,,,,,,,,,,,,,,,0.0,3.278967100000002,3.278967100000002,0.025677679999999984,0.06538672628812492,3.304644779999998,3.97169740113828,2130431,532608,,,,0.9690498955844105,0.24226224646562128
val,windows_nonoverlap,EsCo,EsCo,928330,928329,1.8916835207588885,1.8925617965182602,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,309444,,,,,,,,,,,,,,,,0.0,1.5089613149999987,1.5089613149999987,0.01135111300000001,0.028536953555885702,1.5203124280000007,1.7863091125531023,928330,232083,,,,0.9462808982591301,0.2365699697305915
val,windows_nonoverlap,YeMi,YeMi,14737,14736,1.8362416485880666,1.8355048859934853,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,4913,,,,,,,,,,,,,,,,0.0,0.023474675,0.023474675,0.00017638499999999999,0.0004889640840701759,0.023651059999999998,0.0476986411297074,14737,3685,,,,0.9177524429967426,0.22942254190133676
