split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
train,windows_nonoverlap,AnCa,AnCa,85313805,85313805,1.8985674127592145,1.8994375880902277,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,28437936,,,,,,,,,,,,,,,,0.0,137.67261002200004,137.67261002200004,1.145376527999999,3.382797943369951,138.8179865499996,166.67117145560127,85313805,21328452,,,,0.9497187940451138,0.23742969851127846
train,windows_nonoverlap,WaMe,WaMe,5486659,5486658,1.9640717526632296,1.964911973737018,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,1828887,,,,,,,,,,,,,,,,0.0,8.795558467000012,8.795558467000012,0.07479482300000014,0.2118258138652891,8.870353290000002,10.62952889834205,5486659,1371665,,,,0.982455986868509,0.2456139519514517
val,windows_nonoverlap,OrSa,OrSa,8652504,8652504,1.9202407696580883,1.921073483467907,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,2884169,,,,,,,,,,,,,,,,0.0,14.350651869000016,14.350651869000016,0.11792015399999997,0.3387020049849525,14.468572022999975,17.306427749829705,8652504,2163126,,,,0.9605367417339535,0.24013418543348838
val,windows_nonoverlap,HoSa,HoSa,37950533,37950531,1.5724594340575526,1.5734359026491618,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,12650178,,,,,,,,,,,,,,,,0.0,63.542675971000094,63.542675971000094,0.46647856799999954,1.4632587956730276,64.00915453899988,76.2239429452723,37950533,9487634,,,,0.7867179513245809,0.1966794774661004
val,windows_nonoverlap,DaRe,DaRe,12513004,12513003,1.5761707859229406,1.5770794588637116,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,4171002,,,,,,,,,,,,,,,,0.0,21.735242560999964,21.735242560999964,0.15570930700000007,0.48476413101889193,21.890951867999988,25.916575714042423,12513004,3128251,,,,0.7885397294318558,0.19713491660355897
val,windows_nonoverlap,ScPo,ScPo,2130431,2130429,1.9522550213551473,1.9530977094284767,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,710144,,,,,,,,,,,,,,,,0.0,3.406494834999997,3.406494834999997,0.029014190000000016,0.08321225410327315,3.4355090249999987,4.223156936231032,2130431,532608,,,,0.9765488547142384,0.24413698448811533
val,windows_nonoverlap,EsCo,EsCo,928330,928329,1.9629023986379779,1.9637434573303214,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,309444,,,,,,,,,,,,,,,,0.0,1.532553381000001,1.532553381000001,0.012677873000000004,0.0362862313631922,1.5452312539999997,1.862850846300616,928330,232083,,,,0.9818717286651607,0.24546766774746048
val,windows_nonoverlap,YeMi,YeMi,14737,14736,1.8411297295950393,1.8403908794788273,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,4913,,,,,,,,,,,,,,,,0.0,0.024307429999999998,0.024307429999999998,0.000198858,0.0005977510591037571,0.024506288,0.05301106907575327,14737,3685,,,,0.9201954397394136,0.23003324964375382
val,windows_nonoverlap,BuEb,BuEb,3788,3786,1.9955120943112783,1.9926043317485473,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,1263,,,,,,,,,,,,,,,,0.0,0.006219024,0.006219024,5.4182000000000004e-05,0.00020151695935055614,0.006273206,0.03404968193757138,3788,947,,,,0.9963021658742737,0.2489440337909187
val,windows_nonoverlap,AgPh,AgPh,8794,8793,1.9586379746318094,1.9561014443307176,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,2932,,,,,,,,,,,,,,,,0.0,0.014423507,0.014423507,0.00012215499999999998,0.00038428400876000524,0.014545662000000001,0.04257287704122019,8794,2199,,,,0.9780507221653588,0.24448487605185354
val,windows_nonoverlap,GaGa,GaGa,29706458,29706456,1.8878410389165359,1.8887554947651783,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,9902153,,,,,,,,,,,,,,,,0.0,47.506682034999876,47.506682034999876,0.3956064720000009,1.158357736072503,47.90228850699998,57.51946223774496,29706458,7426615,,,,0.9443777473825892,0.23609442095048827
val,windows_nonoverlap,DrMe,DrMe,6436285,6436284,1.9013488873768172,1.9022280558160578,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,2145429,,,,,,,,,,,,,,,,0.0,10.758805565000015,10.758805565000015,0.08736354799999997,0.2520042151445523,10.846169112999984,12.959814882655689,6436285,1609072,,,,0.9511140279080289,0.2377784700335675
val,windows_nonoverlap,EnIn,EnIn,5280617,5280615,1.919232775872815,1.9201036242937612,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,1760206,,,,,,,,,,,,,,,,0.0,8.596988127999996,8.596988127999996,0.07172898699999998,0.20528520247898996,8.668717115000005,10.413339378184288,5280617,1320155,,,,0.9600518121468806,0.2400128621333454
val,windows_nonoverlap,PlFa,PlFa,1797342,1797342,1.8421791286430707,1.8430282049826912,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,599115,,,,,,,,,,,,,,,,0.0,2.9188635389999993,2.9188635389999993,0.02394968799999999,0.0696278236573562,2.942813226999997,3.54811246377677,1797342,449336,,,,0.9215141024913456,0.2303785256228364
val,windows_nonoverlap,HePy,HePy,333565,333564,1.930931499259934,1.9316952668753222,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,111189,,,,,,,,,,,,,,,,0.0,0.5449433460000003,0.5449433460000003,0.004560670000000001,0.013006844208575785,0.5495040160000001,0.6741578160996226,333565,83392,,,,0.9658476334376611,0.24146118447678863
val,windows_nonoverlap,AeCa,AeCa,318209,318207,1.958327213839969,1.9590266713177271,model_symbol,1,fast_cpp,32768,127,0.01,0.003875732421875,106070,,,,,,,,,,,,,,,,0.0,0.535281777,0.535281777,0.0043942170000000015,0.013018963916692883,0.5396759940000001,0.666147455786423,318209,79553,,,,0.9795133356588636,0.2448767948109576
