window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
55,55000000,56000000,55000000,56000000,1000000,1859315.1528224945,1.8593151528224945,megabyte1,1000000
56,56000000,57000000,56000000,57000000,1000000,1866588.7375688553,1.8665887375688552,megabyte1,1000000
57,57000000,58000000,57000000,58000000,1000000,1862042.2012133598,1.8620422012133597,megabyte1,1000000
58,58000000,59000000,58000000,59000000,1000000,1864367.3461229801,1.8643673461229802,megabyte1,1000000
59,59000000,60000000,59000000,60000000,1000000,1866584.3568572998,1.8665843568572997,megabyte1,1000000
60,60000000,61000000,60000000,61000000,1000000,1855677.518954277,1.8556775189542771,megabyte1,1000000
61,61000000,62000000,61000000,62000000,1000000,1861876.0481023788,1.8618760481023788,megabyte1,1000000
62,62000000,63000000,62000000,63000000,1000000,1866348.2583379745,1.8663482583379745,megabyte1,1000000
63,63000000,64000000,63000000,64000000,1000000,1860018.4046578407,1.8600184046578407,megabyte1,1000000
64,64000000,65000000,64000000,65000000,1000000,1853482.9744019508,1.8534829744019508,megabyte1,1000000
65,65000000,66000000,65000000,66000000,1000000,1861019.5364637375,1.8610195364637374,megabyte1,1000000
66,66000000,67000000,66000000,67000000,1000000,1859349.5239753723,1.8593495239753723,megabyte1,1000000
67,67000000,68000000,67000000,68000000,1000000,1852348.734735012,1.852348734735012,megabyte1,1000000
68,68000000,69000000,68000000,69000000,1000000,1851190.5128467083,1.8511905128467083,megabyte1,1000000
69,69000000,70000000,69000000,70000000,1000000,1853874.4763572216,1.8538744763572217,megabyte1,1000000
70,70000000,71000000,70000000,71000000,1000000,1864450.5516207218,1.8644505516207217,megabyte1,1000000
71,71000000,72000000,71000000,72000000,1000000,1863666.1203269958,1.8636661203269957,megabyte1,1000000
72,72000000,73000000,72000000,73000000,1000000,1854664.3941659927,1.8546643941659928,megabyte1,1000000
73,73000000,74000000,73000000,74000000,1000000,1848287.8267457485,1.8482878267457485,megabyte1,1000000
74,74000000,75000000,74000000,75000000,1000000,1856042.2484002113,1.8560422484002113,megabyte1,1000000
75,75000000,76000000,75000000,76000000,1000000,1855451.639251709,1.855451639251709,megabyte1,1000000
76,76000000,77000000,76000000,77000000,1000000,1845966.5761537552,1.8459665761537551,megabyte1,1000000
77,77000000,78000000,77000000,78000000,1000000,1854976.0841503143,1.8549760841503142,megabyte1,1000000
78,78000000,79000000,78000000,79000000,1000000,1854158.3580560684,1.8541583580560683,megabyte1,1000000
79,79000000,80000000,79000000,80000000,1000000,1854636.8726058006,1.8546368726058007,megabyte1,1000000
80,80000000,81000000,80000000,81000000,1000000,1858594.9555482864,1.8585949555482864,megabyte1,1000000
81,81000000,82000000,81000000,82000000,1000000,1860445.235405922,1.860445235405922,megabyte1,1000000
82,82000000,83000000,82000000,83000000,1000000,1851348.6872711182,1.8513486872711182,megabyte1,1000000
83,83000000,84000000,83000000,84000000,1000000,1858397.5263867378,1.8583975263867378,megabyte1,1000000
84,84000000,85000000,84000000,85000000,1000000,1862797.7471837997,1.8627977471837998,megabyte1,1000000
85,85000000,86000000,85000000,86000000,1000000,1859817.2432878017,1.8598172432878017,megabyte1,1000000
86,86000000,87000000,86000000,87000000,1000000,1852948.6234161854,1.8529486234161854,megabyte1,1000000
87,87000000,88000000,87000000,88000000,1000000,1850131.19733572,1.85013119733572,megabyte1,1000000
88,88000000,89000000,88000000,89000000,1000000,1858044.2595567703,1.8580442595567703,megabyte1,1000000
89,89000000,90000000,89000000,90000000,1000000,1866692.4831650257,1.8666924831650258,megabyte1,1000000
90,90000000,91000000,90000000,91000000,1000000,1862169.8225814104,1.8621698225814105,megabyte1,1000000
91,91000000,92000000,91000000,92000000,1000000,1857371.2791285515,1.8573712791285515,megabyte1,1000000
92,92000000,93000000,92000000,93000000,1000000,1866695.227607727,1.866695227607727,megabyte1,1000000
93,93000000,94000000,93000000,94000000,1000000,1863649.4336175919,1.863649433617592,megabyte1,1000000
94,94000000,95000000,94000000,95000000,1000000,1863498.5889635086,1.8634985889635085,megabyte1,1000000
95,95000000,96000000,95000000,96000000,1000000,1862901.3539819717,1.8629013539819717,megabyte1,1000000
96,96000000,97000000,96000000,97000000,1000000,1855918.488354206,1.8559184883542061,megabyte1,1000000
97,97000000,98000000,97000000,98000000,1000000,1867916.613035202,1.867916613035202,megabyte1,1000000
98,98000000,99000000,98000000,99000000,1000000,1861994.3519096375,1.8619943519096374,megabyte1,1000000
