split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second,geco2_level,geco2_binary
train,geco2_paper_modes,17,411358271,411358271,695533440.0,1.6908215758228913,86941680,1.6908215758228913,411358271,102839574,111504749,107798629,94471100,346.0048516090028,1188880.0665282253,1188880.0665282253,paper_modes,/home/Liang_junnan/miniconda3/bin/GeCo2
val,geco2_paper_modes,17,137119419,137119419,237489880.0,1.7319930446904825,29686235,1.7319930446904825,137119419,34279863,37397554,36162680,32055652,129.54170030998648,1058496.3658179601,1058496.3658179601,paper_modes,/home/Liang_junnan/miniconda3/bin/GeCo2
test,geco2_paper_modes,17,137119434,137119434,236563448.0,1.7252364679393295,29570431,1.7252364679393295,137119434,34279864,37308721,36099146,31943996,130.48306766807218,1050859.9809195907,1050859.9809195907,paper_modes,/home/Liang_junnan/miniconda3/bin/GeCo2
