species,source_name,mode,geco2_level,geco2_binary,geco2_command,geco2_returncode,sample_bytes,sample_bases,sample_symbols_with_eos,uses_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,compression_process_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,split
HePy,HePy,geco2_paper_modes,4,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""4"", ""/tmp/geco2_baseline_h113rwmd/train_13_HePy.seq""]",0,1000695,1000695,1000695,False,1831712.0,1.8304398443082057,228964,1.8304398443082057,0.7651449110126123,1307850.298155489,1307850.298155489,1307850.298155489,1000695,250174,272652,266155,252032,train
AeCa,AeCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_0c9bj155/train_14_AeCa.seq""]",0,954629,954629,954629,False,1833480.0,1.9206204714082644,229185,1.9206204714082644,0.738734509999631,1292249.0923031021,1292249.0923031021,1292249.0923031021,954629,238658,267774,257475,250412,train
HaHi,HaHi,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_d9up4ycd/train_15_HaHi.seq""]",0,2334003,2334003,2334003,False,4320040.0,1.850914501823691,540005,1.850914501823691,1.2214235920109786,1910887.4392685066,1910887.4392685066,1910887.4392685066,2334003,583501,640864,615932,591984,train
AnCa,AnCa,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_7jpye_v8/train_16_AnCa.seq""]",0,85313805,85313805,85313805,False,142680664.0,1.6724217610502778,17835083,1.6724217610502778,31.017515960003948,2750504.1058094176,2750504.1058094176,2750504.1058094176,85313805,21328452,23236236,22338748,18847968,train
WaMe,WaMe,geco2_paper_modes,5,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""5"", ""/tmp/geco2_baseline_x6ri9c0x/train_17_WaMe.seq""]",0,5486659,5486659,5486659,False,10683112.0,1.94710697347876,1335389,1.94710697347876,2.5444280929805245,2156342.7220193,2156342.7220193,2156342.7220193,5486659,1371665,1545155,1486831,1440072,train
OrSa,OrSa,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_ng1z_pyg/val_1_OrSa.seq""]",0,8652504,8652504,8652504,False,15067624.0,1.7414177445049432,1883453,1.7414177445049432,9.499762735009426,910812.6425213729,910812.6425213729,910812.6425213729,8652504,2163126,2384931,2329284,2031408,val
HoSa,HoSa,geco2_paper_modes,12,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""12"", ""/tmp/geco2_baseline_t48eitig/val_2_HoSa.seq""]",0,37950533,37950533,37950533,False,63774528.0,1.6804646195614696,7971816,1.6804646195614696,43.18720811401727,878744.7639543618,878744.7639543618,878744.7639543618,37950533,9487634,10305743,9877491,8714512,val
DaRe,DaRe,geco2_paper_modes,10,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""10"", ""/tmp/geco2_baseline_y_stufwz/val_3_DaRe.seq""]",0,12513004,12513004,12513004,False,20014384.0,1.5994867419526118,2501798,1.5994867419526118,13.231865948997438,945671.9141677894,945671.9141677894,945671.9141677894,12513004,3128251,3324872,3226456,2731912,val
ScPo,ScPo,geco2_paper_modes,8,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""8"", ""/tmp/geco2_baseline_tkybj6zx/val_4_ScPo.seq""]",0,2130431,2130431,2130431,False,4143744.0,1.9450261472913228,517968,1.9450261472913228,3.7186722819751594,572900.9814407278,572900.9814407278,572900.9814407278,2130431,532608,600108,579896,560520,val
EsCo,EsCo,geco2_paper_modes,6,/home/Liang_junnan/miniconda3/bin/GeCo2,"[""/home/Liang_junnan/miniconda3/bin/GeCo2"", ""-F"", ""-v"", ""-l"", ""6"", ""/tmp/geco2_baseline_27dakia8/val_5_EsCo.seq""]",0,928330,928330,928330,False,1787432.0,1.9254273803496602,223429,1.9254273803496602,0.7748405059974175,1198091.727025812,1198091.727025812,1198091.727025812,928330,232083,261010,250648,245748,val
