split,model_bits_per_base,geco2_split_bits_per_base,paper_total_bits_per_base,model_compressed_bytes,geco2_split_compressed_bytes,paper_total_compressed_bytes,model_compression_seconds,geco2_split_seconds,model_bases_per_second,geco2_split_bases_per_second
train,1.7343591200910236,1.6908215758228913,1.6882249141343804,199876,86941680,112744517,6.840577870607376,346.0048516090028,134777.9409048872,1188880.0665282253
val,1.7857604872025172,1.7319930446904825,1.6882249141343804,193603,29686235,112744517,5.92656160145998,129.54170030998648,146344.38285199637,1058496.3658179601
test,1.8184916541857052,1.7252364679393295,1.6882249141343804,197152,29570431,112744517,5.882247120141983,130.48306766807218,147447.22251299515,1050859.9809195907
