split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
full,windows_nonoverlap,OrSa,OrSa,43262523,43262523,1.8925775235664857,1.893455728414175,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,14420842,,,,,,,,,,,,,,,,0.0,66.95471268699981,66.95471268699981,0.5737785980000005,1.4572826400399208,67.52849128500006,72.6006223154944,43262523,10815631,,,,0.9467278642070875,0.23668196605177189
full,windows_nonoverlap,HoSa,HoSa,189752667,189752667,1.628657073650067,1.6296198882938493,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,63250890,,,,,,,,,,,,,,,,0.0,305.12600876400063,305.12600876400063,2.4456719209999958,7.1039482075721025,307.5716806849976,328.6354375471872,189752667,47438167,,,,0.8148099441469246,0.20370248603673116
full,windows_nonoverlap,DaRe,DaRe,62565020,62565018,1.8551715266524715,1.8560758026154487,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,20855007,,,,,,,,,,,,,,,,0.0,97.57077791500015,97.57077791500015,0.8198310569999984,2.3095248995814472,98.39060897200015,105.27109794697371,62565020,15641255,,,,0.9280379013077243,0.23200946791034352
full,windows_nonoverlap,ScPo,ScPo,10652155,10652154,1.9238460896122658,1.9246954184102107,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,3550719,,,,,,,,,,,,,,,,0.0,16.45945793800003,16.45945793800003,0.1421708189999997,0.3588240088429302,16.601628756999975,17.75959036141821,10652155,2663039,,,,0.9623477092051054,0.24058690471552469
full,windows_nonoverlap,EsCo,EsCo,4641652,4641651,1.768812843650032,1.7697513233976445,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,1547218,,,,,,,,,,,,,,,,0.0,7.425718464999995,7.425718464999995,0.06039326299999998,0.15424866368994117,7.486111728000004,7.983814032273847,4641652,1160413,,,,0.8848756616988223,0.2212188677651836
full,windows_nonoverlap,YeMi,YeMi,73689,73689,1.756656876524566,1.757222923367124,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,24564,,,,,,,,,,,,,,,,0.0,0.11610938600000002,0.11610938600000002,0.000959799,0.0022885752841830254,0.117069185,0.14809225847580793,73689,18423,,,,0.878611461683562,0.2196528654208905
full,windows_nonoverlap,BuEb,BuEb,18940,18939,1.9364373327793343,1.9363218754950102,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,6314,,,,,,,,,,,,,,,,0.0,0.029728136999999998,0.029728136999999998,0.000258539,0.0007861924823373556,0.029986676,0.059990069534570936,18940,4735,,,,0.9681609377475051,0.2420274551214361
full,windows_nonoverlap,AgPh,AgPh,43970,43968,1.8600643107984784,1.8608078602620088,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,14657,,,,,,,,,,,,,,,,0.0,0.07077923000000001,0.07077923000000001,0.000581507,0.0015475740656256676,0.071360737,0.10135453115996372,43970,10993,,,,0.9304039301310044,0.23259040254719127
full,windows_nonoverlap,GaGa,GaGa,148532294,148532292,1.8877434799689337,1.8886675498146894,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,49510765,,,,,,,,,,,,,,,,0.0,233.65618174599894,233.65618174599894,1.9735188999999989,5.0561363806482404,235.62970064599963,251.4622568974361,148532294,37133074,,,,0.9443337749073447,0.2360834405479525
full,windows_nonoverlap,DrMe,DrMe,32181429,32181429,1.906196932724407,1.907059130282872,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,10727144,,,,,,,,,,,,,,,,0.0,49.84677436200006,49.84677436200006,0.4280772579999999,1.0897489073686302,50.274851619999964,53.725053100649376,32181429,8045358,,,,0.953529565141436,0.238382391285359
