model,model_window_position,base_count,mean_bpb
evo21,1,17,2.0284144948510563
evo21,2,17,1.916677713394165
evo21,3,17,1.9152358069139368
evo21,4,17,1.948110026471755
evo21,5,17,2.0170409469043507
evo21,6,17,1.9959110302083634
evo21,7,17,2.0098778079537785
evo21,8,17,2.0222386051626766
evo21,9,17,2.1143266243093155
evo21,10,17,2.003452693714815
evo21,11,17,2.0146600358626423
evo21,12,17,1.897024070515352
evo21,13,17,2.105492479660932
evo21,14,17,1.9907931369893692
evo21,15,17,1.9480838495142319
evo21,16,17,2.0059988919426415
evo21,17,17,1.9580945828381706
evo21,18,17,2.1344873835058773
evo21,19,17,2.0845057122847614
evo21,20,17,2.042241773184608
evo21,21,17,1.9823637078790104
evo21,22,17,1.8859313445932724
evo21,23,17,1.9849376958959244
evo21,24,17,2.0033093760995304
evo21,25,17,2.0740480913835415
evo21,26,17,1.881082948516397
evo21,27,17,1.9862593272153068
evo21,28,17,2.131898648598615
evo21,29,17,1.8879045177908504
evo21,30,17,1.9402884455288159
evo21,31,17,1.9365508906981523
evo21,32,17,1.9777546560063082
evo21,33,17,1.7551812354256124
evo21,34,17,1.8936356095706715
evo21,35,17,1.8868749422185562
evo21,36,17,1.9450531005859375
evo21,37,17,1.965320061234867
evo21,38,17,2.0498247497222004
evo21,39,17,1.9630762689253862
evo21,40,17,2.1538811010472916
evo21,41,17,2.028589129447937
evo21,42,17,1.7971112272318672
evo21,43,17,1.8662524924558752
evo21,44,17,1.7876969751189737
evo21,45,17,2.0727520199383007
evo21,46,17,1.770820603651159
evo21,47,17,1.848933658179115
evo21,48,17,1.8710837574566113
evo21,49,17,1.8192994559512419
evo21,50,17,2.018220024950364
evo21,51,17,1.9412624835968018
evo21,52,17,1.6679169114898234
evo21,53,17,1.8642357412506552
evo21,54,17,1.8301120856228996
evo21,55,17,1.7507317311623518
evo21,56,17,1.8413890950820024
evo21,57,17,1.9014565103194292
evo21,58,17,1.9377962771584005
evo21,59,17,2.1615720005596386
evo21,60,17,1.6882884046610664
evo21,61,17,1.8859198759583866
evo21,62,17,1.7163495596717386
evo21,63,17,1.50302155315876
evo21,64,17,2.025669456404798
evo21,65,17,1.9689393131171955
evo21,66,17,1.8674837420968449
evo21,67,17,1.6103832831277567
evo21,68,17,1.527967986815116
evo21,69,17,1.9967812140307881
evo21,70,17,1.9015580626095043
evo21,71,17,1.9704045793589424
evo21,72,17,1.8901028177317452
evo21,73,17,1.7006825559279497
evo21,74,17,1.5624097553903566
evo21,75,17,1.7850211083012468
evo21,76,17,1.7033072287107216
evo21,77,17,1.6998068410903215
evo21,78,17,1.6435951068997383
evo21,79,17,1.462942344300887
evo21,80,17,1.7956518274458015
evo21,81,17,2.0306871919070972
evo21,82,17,2.030264931566575
evo21,83,17,1.6904726063503939
evo21,84,17,1.573668282122954
evo21,85,17,1.873577033772188
evo21,86,17,1.892163880607661
evo21,87,17,1.8240234448629267
evo21,88,17,1.7764809938038097
evo21,89,17,1.9903028870330137
evo21,90,17,1.7655694660018473
evo21,91,17,1.8033409679637236
evo21,92,17,1.6763811006265528
evo21,93,17,1.6752212569665383
evo21,94,17,1.7455538932014913
evo21,95,17,1.7561345765476717
evo21,96,17,1.8510709323865526
evo21,97,17,1.4774154432337074
evo21,98,17,1.2943943998612024
evo21,99,17,1.8265688726130653
evo21,100,17,1.9356540581759285
evo21,101,17,1.5012344694970285
evo21,102,17,1.5258967227795546
evo21,103,17,1.6037756660405327
evo21,104,17,1.7963549605406381
evo21,105,17,1.582370883839972
evo21,106,17,1.5405098620583029
evo21,107,17,1.4303266158573986
evo21,108,17,1.4977482964887339
evo21,109,17,1.5927643115796588
evo21,110,17,1.5984345414292287
evo21,111,17,1.6493387154906112
evo21,112,17,1.671436623615377
evo21,113,17,1.2736359579379068
evo21,114,17,1.3250908005763502
evo21,115,17,1.954017699983738
evo21,116,17,1.3828893654486711
evo21,117,17,1.6601676169563742
evo21,118,17,1.303230525816188
evo21,119,17,1.4156714640009929
evo21,120,17,1.363747267079923
evo21,121,17,1.701788845088552
evo21,122,17,1.909276568426696
evo21,123,17,1.50998364958693
evo21,124,17,1.5883702522362857
evo21,125,17,1.5628195528064253
evo21,126,17,1.5148405816734714
evo21,127,17,1.2804616822258514
evo21,128,17,1.1505588436882723
evo21,129,17,1.5299568123129361
evo21,130,17,1.540818374758066
evo21,131,17,1.7693639870746718
evo21,132,17,1.3929969826165367
evo21,133,17,1.34783262430745
evo21,134,17,1.4878747369409264
evo21,135,17,1.4576982170726884
evo21,136,17,1.6214352812453665
evo21,137,17,1.5867482600596678
evo21,138,17,1.5374028443441015
evo21,139,17,1.5737518595860285
evo21,140,17,1.7123683388071025
evo21,141,17,1.158003924304948
evo21,142,17,1.3015282354865443
evo21,143,17,1.4660282354829286
evo21,144,17,1.462701269041966
evo21,145,17,1.3266792192178614
evo21,146,17,1.502624490928343
evo21,147,17,1.7278819257283913
evo21,148,17,1.39902937509503
evo21,149,17,1.3408118289936444
evo21,150,17,1.3394917734994498
evo21,151,17,1.1895529110094203
evo21,152,17,1.765500998145024
evo21,153,17,1.3029997762128271
evo21,154,17,1.5503784941906549
evo21,155,17,1.4869695572826245
evo21,156,17,1.2716061834602015
evo21,157,17,1.4071644198368578
evo21,158,17,1.395740342901691
evo21,159,17,1.325261831352049
evo21,160,17,1.3129508636124871
evo21,161,17,1.5727573537767645
evo21,162,17,1.2030672621433898
evo21,163,17,0.9474016706705751
evo21,164,17,1.4802766154273688
evo21,165,17,1.4029802528812605
evo21,166,17,1.355582885512644
evo21,167,17,1.3686205858693403
evo21,168,17,1.3977201441987692
evo21,169,17,1.3300932776456809
evo21,170,17,1.2417308235239677
evo21,171,17,1.4585463614613914
evo21,172,17,1.257871672483709
evo21,173,17,1.6203014403376181
evo21,174,17,1.1782113305457376
evo21,175,17,1.1685452411389525
evo21,176,17,1.8565920063376646
evo21,177,17,1.5644878431921825
evo21,178,17,1.0011964178205852
evo21,179,17,1.5737936783938067
evo21,180,17,1.481156104559298
evo21,181,17,0.9579156073330737
evo21,182,17,1.592436332776047
evo21,183,17,1.290730701512931
evo21,184,17,1.2899839929989814
evo21,185,17,1.2276215087280007
evo21,186,17,1.1341536947567126
evo21,187,17,1.1420253076974083
evo21,188,17,1.2268301776528139
evo21,189,17,1.1744908370926757
evo21,190,17,0.9795751187895589
evo21,191,17,1.1528028429020196
evo21,192,17,0.9786804969189689
evo21,193,17,0.94567701802589
evo21,194,17,1.0391068548059967
evo21,195,17,1.5974243696340744
evo21,196,17,1.1228105373242323
evo21,197,17,1.3772177035228679
evo21,198,17,1.1129415589110816
evo21,199,17,1.300945049535264
evo21,200,17,1.3388104232178781
evo21,201,17,1.285006286453127
evo21,202,17,1.1480680256534148
evo21,203,17,1.1553942481165422
evo21,204,17,1.3115980430054204
evo21,205,17,0.8908773285802454
evo21,206,17,1.3046594321289484
evo21,207,17,1.3321090674246936
evo21,208,17,1.062183402478695
evo21,209,17,1.1288742399740253
evo21,210,17,1.0473808482261922
evo21,211,17,0.9742666958447765
evo21,212,17,1.246423461173168
evo21,213,17,1.3482980555923216
evo21,214,17,1.8310421583146843
evo21,215,17,1.2398849429343552
evo21,216,17,1.0948653519359033
evo21,217,17,1.25934843200615
evo21,218,17,1.0274130957927008
evo21,219,17,1.252823659533854
evo21,220,17,0.9046083780361668
evo21,221,17,1.0159263794193976
evo21,222,17,1.2612772419096847
evo21,223,17,1.1282335934571592
evo21,224,17,1.1641450827078454
evo21,225,17,1.4706013519179952
evo21,226,17,1.3993408440420514
evo21,227,17,1.1790782390436267
evo21,228,17,1.2231376204358906
evo21,229,17,1.0649068020489614
evo21,230,17,1.5245736929423668
evo21,231,17,1.5034812734845806
evo21,232,17,1.2344574444817709
evo21,233,17,1.0254890124779195
evo21,234,17,1.1722900120692108
evo21,235,17,1.2154537434484263
evo21,236,17,1.3219268447856474
evo21,237,17,1.3891518062035388
evo21,238,17,1.005747128825854
evo21,239,17,1.10500574432423
evo21,240,17,1.1722829357775695
evo21,241,17,1.0449633635032702
evo21,242,17,1.4207698234411723
evo21,243,17,1.1633414324468878
evo21,244,17,1.2765356962404706
evo21,245,17,1.3208062298226115
evo21,246,17,1.0431052855325533
evo21,247,17,1.0165042195208918
evo21,248,17,1.1704868249773213
evo21,249,17,1.1326092230566942
evo21,250,17,0.97058860257761
evo21,251,17,1.3733782448244336
evo21,252,17,1.0558152874411249
evo21,253,17,1.1490206545122954
evo21,254,17,1.2945918159470347
evo21,255,17,1.3848154793548233
evo21,256,17,0.9678539523498758
evo21,257,17,1.0754723324002151
evo21,258,17,0.9786409053074963
evo21,259,17,1.0562150013797424
evo21,260,17,1.115665683769347
evo21,261,17,1.3966270684648086
evo21,262,17,1.0586946233285262
evo21,263,17,1.4430493301616105
evo21,264,17,1.0905262474313049
evo21,265,17,1.3120588034542058
evo21,266,17,1.5868737754302429
evo21,267,17,1.2831842291360611
evo21,268,17,0.828124573070775
evo21,269,17,1.374958357284092
evo21,270,17,1.268848364261965
evo21,271,17,0.9886161745799815
evo21,272,17,1.1664698090650798
evo21,273,17,1.2466578972799813
evo21,274,17,1.1678718901376295
evo21,275,17,1.0300261194317821
evo21,276,17,0.9723641685285496
evo21,277,17,0.9827129310818717
evo21,278,17,1.2155897795660968
evo21,279,17,1.045873577672276
evo21,280,17,1.3261515675249564
evo21,281,17,1.2918902499094496
evo21,282,17,1.29095083357328
evo21,283,17,0.8690034433589865
evo21,284,17,1.0784956465324607
evo21,285,17,1.422453544629902
evo21,286,17,1.0978197935379712
evo21,287,17,1.0828488423174027
evo21,288,17,0.9485302010160761
evo21,289,17,1.0461782259893988
evo21,290,17,1.1900918949532377
evo21,291,17,1.2171410439494887
evo21,292,17,1.0369160906548667
evo21,293,17,1.0317411674118109
evo21,294,17,0.9048836746917326
evo21,295,17,0.5771616536247379
evo21,296,17,1.1317931762211682
evo21,297,17,1.1848001208991799
evo21,298,17,0.6370283231645932
