model,model_label,window_bases,segment_count,standalone_bpb_mean,standalone_bpb_sd,fused_bpb_mean,fused_bpb_sd,improvement_bpb_mean,improvement_bpb_sd
carbon,Carbon-3B,6144,3,1.6228097712672018,0.023983087388011082,1.5533403105878283,0.05453539822293382,0.06946946067937339,0.030603612879032797
carbon,Carbon-3B,12288,3,1.6038666039812408,0.028695662373659177,1.541120841596216,0.05622377947632777,0.06274576238502479,0.027560963442860905
carbon,Carbon-3B,24576,3,1.5891239254634217,0.03405681014963282,1.533133378478815,0.05798873989573071,0.055990546984606704,0.02426623275020753
carbon,Carbon-3B,49152,3,1.5760407156200782,0.03947841651048753,1.5267079155689163,0.05988621626926635,0.049332800051161994,0.020732385574271192
carbon,Carbon-3B,98304,3,1.568615246830667,0.04214168652439839,1.5234842845157837,0.06097018590566445,0.04513096231488337,0.01899417493508016
carbon,Carbon-3B,196608,3,1.5588931682115605,0.044863237491813195,1.5194858252215315,0.06108796648151539,0.03940734299002894,0.01622799611457356
evo2_optimized,Evo2-7B optimized,6144,3,1.5623404146440099,0.03463871673761808,1.506479777546146,0.059518900500157276,0.055860637097863895,0.025052125028930675
evo2_optimized,Evo2-7B optimized,12288,3,1.547042550709812,0.03870685095651643,1.495989578188403,0.061148196485659,0.05105297252140898,0.02303943644237831
evo2_optimized,Evo2-7B optimized,24576,3,1.5343094064800573,0.04338897175929259,1.4888087901350509,0.062390295787783406,0.045500616345006316,0.019990033667162895
evo2_optimized,Evo2-7B optimized,49152,3,1.5224401486762325,0.048290640367572725,1.4830819453684705,0.06413717778562866,0.03935820330776211,0.016728161782665972
evo2_optimized,Evo2-7B optimized,98304,3,1.5158665658500803,0.05017373520477255,1.4791351222067395,0.06501898600919134,0.036731443643340876,0.015607775331221138
evo2_optimized,Evo2-7B optimized,196608,3,1.5503974487115832,0.048031197093408855,1.5013113914421676,0.06618967213208032,0.04908605726941554,0.018264604868990522
