species,region_class,base_count,carbon3b_mean_bpb,nc_prefix_mean_bpb,carbon_minus_nc_bpb,carbon_over_nc_ratio,lower_bpb
AeCa,cds,1384830,1.582548296043502,1.9048461130827892,-0.32229781703928717,0.8308011262297285,carbon3b
AeCa,intergenic,191785,1.9141242951579143,1.9649512071191924,-0.05082691196127809,0.974133244745657,carbon3b
AeCa,repeat_mobile_existing,4880,1.3887038324590646,1.7130335381971415,-0.32432970573807696,0.8106693777406055,carbon3b
AeCa,rna,9554,1.2515921255943736,1.7986424681097815,-0.5470503425154079,0.6958537607030314,carbon3b
AgPh,cds,39278,1.8184623556621955,1.9420022188258634,-0.12353986316366794,0.9363853130722166,carbon3b
AgPh,intergenic,4692,1.835973603301737,1.9344527539884808,-0.09847915068674373,0.9490919845503085,carbon3b
BuEb,cds,14516,1.9277007204227432,1.9655774100001506,-0.03787668957740742,0.9807299934438072,carbon3b
BuEb,exon_non_cds,3743,1.9345499751058075,1.9428416582606305,-0.008291683154822982,0.9957321878910882,carbon3b
BuEb,intergenic,681,1.890570422311957,1.9339455109231254,-0.043375088611168344,0.9775717111127582,carbon3b
DaRe,cds,2371006,1.0439376859549239,1.7150213379056065,-0.6710836519506826,0.6087024475332687,carbon3b
DaRe,exon_non_cds,1964189,1.5714324622365898,1.662967253223114,-0.09153479098652406,0.9449569492068385,carbon3b
DaRe,intergenic,22651647,1.3378725935735978,1.4238112434357686,-0.08593864986217081,0.939641823831371,carbon3b
DaRe,intron,33530241,1.3650656713490912,1.488492787968746,-0.12342711661965478,0.9170791302334168,carbon3b
DaRe,rna,2047937,1.4082505476162228,1.3403520257833328,0.06789852183289002,1.0506572307325075,nc_prefix
DrMe,cds,5628389,1.1380145941682676,1.9320830945257623,-0.7940685003574948,0.5890091359903948,carbon3b
DrMe,exon_non_cds,1920823,1.8372184975982593,1.8834398602002729,-0.046221362602013594,0.9754590716811639,carbon3b
DrMe,intergenic,11411662,1.8089317570632684,1.8177057450574772,-0.00877398799420881,0.9951730427116346,carbon3b
DrMe,intron,12781456,1.8170553886937957,1.867926983534699,-0.05087159484090331,0.9727657476500294,carbon3b
DrMe,rna,439099,1.7851887564091462,1.8020573087262877,-0.01686855231714146,0.9906392808733345,carbon3b
EsCo,cds,3961156,1.085713286262605,1.9216436754722346,-0.8359303892096295,0.5649919910338197,carbon3b
EsCo,intergenic,495049,1.8352884364431348,1.9161209277340492,-0.08083249129091441,0.9578145146681819,carbon3b
EsCo,intron,84083,1.596917759895421,1.8841125172440212,-0.2871947573486002,0.8475702726243264,carbon3b
EsCo,repeat_mobile_existing,51574,1.3370567032735123,0.7510492321619178,0.5860074711115946,1.7802517411871317,nc_prefix
EsCo,rna,49790,0.5408289980570863,0.8840436993415727,-0.3432147012844864,0.6117672672288604,carbon3b
GaGa,cds,2636753,0.8480373034236194,1.8859948382566294,-1.03795753483301,0.44964985387103484,carbon3b
GaGa,exon_non_cds,2973437,1.7347747978354373,1.8766331829346292,-0.1418583850991919,0.9244080375487352,carbon3b
GaGa,intergenic,72256287,1.7573207852692694,1.8078306527542245,-0.05050986748495512,0.9720605094243736,carbon3b
GaGa,intron,64447716,1.7897625294903685,1.8386689176353126,-0.04890638814494408,0.9734011992720027,carbon3b
GaGa,rna,6218101,1.7979362745169858,1.8466928671478993,-0.048756592630913476,0.9735978876085578,carbon3b
HaHi,cds,3381272,1.3949173788694018,1.8454912126468448,-0.450573833777443,0.7558515420232103,carbon3b
HaHi,intergenic,489616,1.942011145166667,1.9777431813183015,-0.03573203615163445,0.9819329241080651,carbon3b
HaHi,intron,4,2.440530059204701,0.31827242886137597,2.122257630343325,7.668053648051549,nc_prefix
HaHi,repeat_mobile_existing,812,1.1517268780476642,1.6149957269329116,-0.46326884888524744,0.7131454646229587,carbon3b
HaHi,rna,18301,1.008952757932251,1.2031626413681156,-0.19420988343586454,0.83858384830248,carbon3b
HoSa,cds,1441170,0.8657970719578523,1.8834368355949649,-1.0176397636371126,0.45968999628509066,carbon3b
HoSa,exon_non_cds,3198055,1.526005334556653,1.7815393406297422,-0.25553400607308907,0.856565611409534,carbon3b
HoSa,intergenic,90339047,1.3909938351451288,1.6005661452735167,-0.20957231012838795,0.8690636367967319,carbon3b
HoSa,intron,61958107,1.4851897797295541,1.6757658787343825,-0.19057609900482841,0.8862752241090143,carbon3b
HoSa,repeat_mobile_existing,8779,0.3533003442839372,0.4603966463856893,-0.10709630210175208,0.7673825321220216,carbon3b
HoSa,rna,32807509,1.445506570716832,1.6588769398556478,-0.2133703691388158,0.8713766138931421,carbon3b
OrSa,cds,5361231,1.1523047205571681,1.859221666372722,-0.7069169458155538,0.619778018618552,carbon3b
OrSa,exon_non_cds,2980392,1.7910035078214108,1.862314885445402,-0.07131137762399109,0.9617082061786045,carbon3b
OrSa,intergenic,26201502,1.6028272435585276,1.454835613642437,0.1479916299160906,1.1017239532276555,nc_prefix
OrSa,intron,7783657,1.7745472829956415,1.8029504655491684,-0.028403182553526918,0.9842462768133369,carbon3b
OrSa,rna,935741,1.7618957378439035,1.7519025259708951,0.00999321187300839,1.0057042054137517,nc_prefix
YeMi,cds,63409,1.7237074794368095,1.8303191822178602,-0.1066117027810507,0.941752398261015,carbon3b
YeMi,intergenic,10280,1.6494481939893366,1.7322254178562793,-0.08277722386694264,0.9522133649502824,carbon3b
EnIn,cds,15562764,1.6802153183481439,1.714931677519101,-0.03471635917095717,0.9797564185057335,carbon3b
EnIn,exon_non_cds,0,,,,,
EnIn,gene_other,0,,,,,
EnIn,intergenic,24399207,1.7151037406999368,1.1998109648206796,0.5152927758792571,1.4294783019892399,nc_prefix
EnIn,intron,534036,1.73741593698785,1.5746121005551235,0.16280383643272645,1.103392979372717,nc_prefix
EnIn,repeat_mobile_existing,0,,,,,
EnIn,rna,0,,,,,
HePy,cds,1526441,1.4353145632623894,1.8114046946621787,-0.3760901313997893,0.7923765282777249,carbon3b
HePy,exon_non_cds,0,,,,,
HePy,gene_other,0,,,,,
HePy,intergenic,128733,1.753437460111377,1.739519467986615,0.013917992124761858,1.0080010556828496,nc_prefix
HePy,intron,0,,,,,
HePy,repeat_mobile_existing,0,,,,,
HePy,rna,12676,0.8129407580354135,1.3932336735844708,-0.5802929155490573,0.5834920397408306,carbon3b
PlFa,cds,12205712,1.4733369316056892,1.6821480590974147,-0.20881112749172548,0.8758663802734662,carbon3b
PlFa,exon_non_cds,0,,,,,
PlFa,gene_other,0,,,,,
PlFa,intergenic,9353538,1.3545468976850414,1.3162367719032055,0.0383101257818359,1.029105801174694,nc_prefix
PlFa,intron,1653586,1.3111867022842214,1.3281624768562534,-0.016975774572032032,0.987218600986068,carbon3b
PlFa,repeat_mobile_existing,0,,,,,
PlFa,rna,114036,1.4113157907842877,1.3076455199902235,0.10367027079406421,1.0792801024507308,nc_prefix
ScPo,cds,7188107,1.5459901326237067,1.9053167857782645,-0.3593266531545578,0.8114084461772147,carbon3b
ScPo,exon_non_cds,1362461,1.8598061764530067,1.8691825323048776,-0.00937635585187091,0.9949837130992718,carbon3b
ScPo,gene_other,0,,,,,
ScPo,intergenic,1237740,1.8549857150012736,1.7576131017599663,0.0973726132413073,1.0554004821333,nc_prefix
ScPo,intron,209346,1.852855716032854,1.8521260714037402,0.0007296446291138459,1.0003939497642085,nc_prefix
ScPo,repeat_mobile_existing,76206,1.7719993509503411,1.0167225758471543,0.7552767751031868,1.7428543371075187,nc_prefix
ScPo,rna,2516991,1.8616659462809617,1.7963319829039472,0.06533396337701447,1.036370762196972,nc_prefix
