split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,nugget_latent_mode,nugget_code_dim,nugget_flatten_bottleneck_dim,nugget_flatten_input_dim,nugget_flatten_max_nuggets,nugget_code_bytes,nugget_hidden_bytes,nugget_metadata_bytes,nugget_score_bytes,nugget_valid_count,side_info_bytes,total_bits_per_base,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_quantize_seconds,arithmetic_range_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii
train,windows_nonoverlap,AnCa,AnCa,85313805,85313805,1.865857470931713,1.8667215698561328,model_symbol,3,python,32768,127,0.01,0.003875732421875,28437936,,,,,,,,,,,,,,,,0.0,310.8962862715125,310.8962862715125,129.4249090416124,51.82693445630139,440.3211953131249,519.0099378179875,85313805,21328452,,,,0.9333607849280664,0.2333401962320166
train,windows_nonoverlap,WaMe,WaMe,5486659,5486658,1.9338811872579866,1.9347092528821734,model_symbol,3,python,32768,127,0.01,0.003875732421875,1828887,,,,,,,,,,,,,,,,0.0,19.68400529457722,19.68400529457722,8.432402925216593,3.7723959799623117,28.11640821979381,33.64183414768195,5486659,1371665,,,,0.9673546264410867,0.24183861253269065
val,windows_nonoverlap,OrSa,OrSa,8652504,8652504,1.901510893472734,1.9023829402448125,model_symbol,3,python,32768,127,0.01,0.003875732421875,2884169,,,,,,,,,,,,,,,,0.0,31.08557117957389,31.08557117957389,13.051229482807685,5.9482197018223815,44.136800662381575,52.86245386971859,8652504,2163126,,,,0.9511914701224062,0.23779786753060156
val,windows_nonoverlap,HoSa,HoSa,37950533,37950531,1.873270324903256,1.87421272181936,model_symbol,3,python,32768,127,0.01,0.003875732421875,12650178,,,,,,,,,,,,,,,,0.0,137.09608528763056,137.09608528763056,56.9070840490167,24.653492454672232,194.00316933664726,230.7236520475708,37950533,9487634,,,,0.93710636090968,0.23427657788100104
val,windows_nonoverlap,DaRe,DaRe,12513004,12513003,1.850629260773242,1.8515171777709956,model_symbol,3,python,32768,127,0.01,0.003875732421875,4171002,,,,,,,,,,,,,,,,0.0,47.37835357914446,47.37835357914446,19.502912204770837,7.926014885306358,66.8812657839153,78.89267919491976,12513004,3128251,,,,0.9257585888854978,0.23143962872544435
val,windows_nonoverlap,ScPo,ScPo,2130431,2130429,1.9275712313711963,1.928407846494767,model_symbol,3,python,32768,127,0.01,0.003875732421875,710144,,,,,,,,,,,,,,,,0.0,8.136773434584029,8.136773434584029,3.5423619688954204,1.5249767007189803,11.67913540347945,13.90514786017593,2130431,532608,,,,0.9642039232473835,0.2410507545186866
val,windows_nonoverlap,EsCo,EsCo,928330,928329,1.7823917052055445,1.783324661838637,model_symbol,3,python,32768,127,0.01,0.003875732421875,309444,,,,,,,,,,,,,,,,0.0,3.5983678969205357,3.5983678969205357,1.4572017035097815,0.6424697751644999,5.055569600430317,6.021395910764113,928330,232083,,,,0.8916623309193185,0.22291534260446177
val,windows_nonoverlap,YeMi,YeMi,14737,14736,1.7711185616856677,1.768729641693811,model_symbol,3,python,32768,127,0.01,0.003875732421875,4913,,,,,,,,,,,,,,,,0.0,0.05642656999407336,0.05642656999407336,0.022961748065426946,0.011879422003403306,0.0793883180595003,0.12328097101999447,14737,3685,,,,0.8843648208469055,0.22107620275497047
val,windows_nonoverlap,BuEb,BuEb,3788,3786,1.9590555988035692,1.954569466455362,model_symbol,3,python,32768,127,0.01,0.003875732421875,1263,,,,,,,,,,,,,,,,0.0,0.014396039943676442,0.014396039943676442,0.006399428006261587,0.00471822201507166,0.02079546794993803,0.057019124971702695,3788,947,,,,0.977284733227681,0.2441921858500528
val,windows_nonoverlap,AgPh,AgPh,8794,8793,1.8702637884894233,1.869669054930058,model_symbol,3,python,32768,127,0.01,0.003875732421875,2932,,,,,,,,,,,,,,,,0.0,0.033194353978615254,0.033194353978615254,0.015093679947312921,0.0071832400863058865,0.048288033925928175,0.0875101059791632,8794,2199,,,,0.934834527465029,0.23368205594723676
