split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,1240408748.1464844,1.8092385972487548,155131558,1.810177509981821,90.50887549909105,0.2262721831371043,77.37278168628957,0.9050887008648991,,,,685597124,171399287,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,,,
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,81080235.5324707,1.8741448697402763,10139909,1.8750471857593696,93.75235928796847,0.2343808982199212,76.56191017800789,0.9375235712091139,,,,43262523,10815631,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,318427781.34399414,1.6781201886558683,39826543,1.6790928372037057,83.95464186018529,0.20988660465046322,79.01133953495368,0.839546414177428,,,,189752667,47438167,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,114783774.87231445,1.834631852456503,14355325,1.8355720763957903,91.77860381978952,0.22944650221481588,77.0553497785184,0.9177860088592635,,,,62565020,15641255,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,20387505.329589844,1.9139326496396731,2549597,1.9148029591010418,95.7401479550521,0.2393503474179638,76.06496525820361,0.9574012997932062,,,,10652155,2663039,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,7861508.097167969,1.6936878919091436,983254,1.6946625241751265,84.73312620875633,0.21183276988451524,78.81672301154848,0.847331079538061,,,,4641652,1160413,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,128399.72705078125,1.742454464720396,16054,1.7428924262780061,87.1446213139003,0.21786155328475076,78.21384467152492,0.8714107365792759,,,,73689,18423,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,36615.38610839844,1.9333325998415143,4577,1.933365013992291,96.66825069961456,0.24165786694825767,75.83421330517423,0.9666314677930307,,,,18940,4735,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,81034.51025390625,1.8430338030819289,10133,1.8437045123726346,92.18522561863173,0.23045258130543553,76.95474186945644,0.9217683980715,,,,43970,10993,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,274760304.6381836,1.8498354865363795,34362509,1.8507764762695509,92.53882381347755,0.231347056418586,76.8652943581414,0.9253882132139127,,,,148532294,37133074,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,DrMe,DrMe,,32181429,32181429,10727144,60801550.45800781,1.8893365629602032,7603805,1.8902342714489155,94.51171357244577,0.23627928393111444,76.37207160688855,0.9451170476192607,,,,32181429,8045358,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,EnIn,EnIn,,26403087,26403087,8801030,49872582.666015625,1.8888921081847598,6237056,1.8897959924155838,94.4897996207792,0.23622449905194798,76.3775500948052,0.9448979604203872,,,,26403087,6600772,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,PlFa,PlFa,,8986712,8986710,2995571,16186238.318359375,1.80113059377229,2024304,1.802042349202322,90.1021174601161,0.22525524351954307,77.4744756480457,0.9010209740781723,,,,8986712,2246678,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,HePy,HePy,,1667825,1667823,555942,2863971.5966796875,1.7171915704962022,358188,1.7181103750218099,85.9055187510905,0.2147635393401586,78.52364606598414,0.859052612139861,,,,1667825,416957,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,AeCa,AeCa,,1591049,1591047,530350,2859160.3032226562,1.7970306994216112,357566,1.797890320021973,89.89451600109865,0.22473600750196882,77.52639924980312,0.8989423350085353,,,,1591049,397763,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,HaHi,HaHi,,3890005,3890004,1296669,6674407.641235352,1.7157842617219292,834724,1.7166542759339065,85.83271379669533,0.21458172932939676,78.54182706706032,0.8583262553701689,,,,3890005,972502,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,AnCa,AnCa,,142189675,142189674,47396559,266029085.10131836,1.8709451791929586,33270214,1.8718779255376872,93.59389627688437,0.2339847390466291,76.60152609533709,0.9359389496041892,,,,142189675,35547419,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
full,windows_nonoverlap,source,WaMe,WaMe,,9144432,9144432,3048145,17574592.62451172,1.9218900227495506,2197800,1.922743807379179,96.13719036895894,0.24034297592239737,75.96570240776026,0.9613719036895895,,,,9144432,2286108,,,,model_symbol,3,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,False
